year,mon,day,prcp,tmax,tmin,wspd,rhum,rsds
2011,7,10,0,32.28735026,24.09496666,1.5,0.83798845,19.12100697
2011,7,11,23.3820227,27.7916734,25.38931094,2.549270499,0.905325219,4.503609861
2011,7,12,18.54820431,27.39837685,25.31664158,3.371162067,0.920157486,2.566106179
2011,7,13,0,35.70258613,26.53118372,3.513164741,0.677932182,12.2178467
2011,7,14,0,34.12771647,27.37432111,2.2,0.737949344,19.19989006
2011,7,15,0,33.81037365,24.55396032,1.9,0.812154067,19.29304253
2011,7,16,18.4853313,32.45641278,26.07543538,1.6,0.893779064,14.02333365
2011,7,17,1.449875283,31.9384367,26.89271075,1.3,0.881046512,9.147435038
2011,7,18,12.84056177,30.17258584,26.06613843,1.2,0.914826443,2.580928625
2011,7,19,105.6610923,31.225198,26.73976652,2.947544582,0.839937482,5.174837147
2011,7,20,29.83188937,35.97243562,24.08032522,4.297652929,0.672760993,4.715928678
2011,7,21,0,32.27997357,24.8496675,1.3,0.835216554,19.75870301
2011,7,22,0,32.2663903,21.37448337,0.600068533,0.903615426,20.49342312
2011,7,23,0,34.29513668,24.85284896,1.7,0.791538462,16.74257592
2011,7,24,0.272039233,32.23122387,23.44582971,2.629224171,0.865,11.03782403
2011,7,25,0.310358174,27.97652349,21.10839914,3.043433356,0.868578455,4.647768024
2011,7,26,0,25.1499157,19.73557856,2.753233866,0.870767338,8.638914036
2011,7,27,0,23.53680918,19.50291952,2,0.856940791,9.544392734
2011,7,28,0,25.28879614,20.21442613,1.409664399,0.835909528,9.742185974
2011,7,29,0,30.00706574,25.01426179,0.727951993,0.863312236,17.688997
2011,7,30,0,32.83146007,27.26531518,0.752301893,0.827857083,10.81816546
2011,7,31,1,34.94689885,26.64949666,0.6,0.818354398,12.36846112
2011,8,1,0.1,31.95636434,22.09297979,1.219928106,0.781107558,20.74378967
2011,8,2,0,30.43730749,23.05410095,1.5,0.776500125,15.25621815
2011,8,3,0,30.30390093,21.82356,2.238155663,0.878714898,11.70050688
2011,8,4,0,28.39316384,21.06248807,3.092203224,0.839226994,11.59396815
2011,8,5,0.5,25.35750425,21.4,2.115459721,0.875553564,3.756787135
2011,8,6,0,26.27970289,21.9856992,1.8,0.843545102,7.810105886
2011,8,7,0,30.04224772,23.86625033,1.4,0.850456524,7.890985057
2011,8,8,7.500810577,29.3610132,23.29109534,1.5,0.906916997,7.6992114
2011,8,9,1.917032583,28.9,24.15302804,2,0.922724594,11.01275845
2011,8,10,0,31.57692926,25.75880217,2.3,0.836702048,22.43955113
2011,8,11,2.5,34.47699219,27.94831069,1.700973478,0.782197674,10.86074334
2011,8,12,1.177921186,34.98539633,27.45721177,1.2,0.853508533,8.408716984
2011,8,13,4.733856604,34.70542354,27.05483788,0.6,0.857306678,19.13978325
2011,8,14,0,34.21502743,26.40889553,0.570275751,0.853508533,17.06551529
2011,8,15,0,35.22596186,27.67004672,1.1,0.801392029,9.12724552
2011,8,16,0,35.91189243,27.86100679,0.47333999,0.809429182,14.32494364
2011,8,17,0,36.06521961,28.35872288,0.8,0.773720672,18.46072109
2011,8,18,24.5437037,35.68914265,27.10877368,1.2,0.829420182,10.37283931
2011,8,19,24.35851852,31.17250637,26.25841013,2.484611164,0.911125147,4.532941315
2011,8,20,94.81958477,33.67248246,26.44797429,2.7,0.94016426,1.737666171
2011,8,21,34.48525547,36.16207121,24.6474674,3.523317006,0.889848614,7.46388642
2011,8,22,0.589731558,35.73118299,29.2378953,1.5,0.814827745,9.223709922
2011,8,23,10.87844725,34.45582171,29.04810111,1.2,0.913507368,3.295450453
2011,8,24,9.490012082,34.6928111,27.1267076,1.2,0.889137994,8.160570314
2011,8,25,0,36.00159255,29.19877107,1.5,0.783360656,20.00097955
2011,8,26,0,36.27442642,28.8601038,1.9,0.735651227,20.86121418
2011,8,27,3.59329931,35.64626731,27.93686514,1.2,0.863445351,19.87018855
2011,8,28,1.890943396,35.31500191,28.25705381,1.6,0.809048636,20.11663486
2011,8,29,0,33.7783722,27.82352745,3.502458057,0.758222728,18.68552631
2011,8,30,0,31.48634213,24.24016363,3.676503747,0.590714807,19.58806708
2011,8,31,0,26.17292603,20.24427601,3.504728287,0.578553784,22.68751563
2011,9,1,0,26.05650525,19.25465912,2.4,0.755639695,19.07367303
2011,9,2,0,26.8,18.70071023,1.8,0.763611739,22.07149446
2011,9,3,0,27.34200607,19.10811991,0.845183203,0.84691945,21.54544848
2011,9,4,0,29.18325089,19.34451605,0.700463859,0.8028,18.16137666
2011,9,5,0,29.41394056,19.68174877,1.129302282,0.773218263,16.70030796
2011,9,6,0.168639053,28.70937554,20.8987361,0.96980313,0.8028,3.990656999
2011,9,7,0,29.29731414,19.60586892,2.3,0.585261745,18.01264916
2011,9,8,0,26.12644556,18.18195236,1.3,0.686989494,16.86494594
2011,9,9,0,26.55850381,19.67962363,1.8,0.665435852,13.62756891
2011,9,10,0.723157895,24.87459022,18.4,2.1,0.727062417,1.855072878
2011,9,11,0,25.18234831,18.65423329,2.2,0.751380711,19.64520182
2011,9,12,0,26.19804298,19.60819395,1.8,0.784823291,15.16695452
2011,9,13,0.749737533,30.40170322,19.85508354,2.559310545,0.716384615,7.594575994
2011,9,14,21.77349398,24.75736581,18,2.712874782,0.763611739,7.632728371
2011,9,15,0,24.48943804,18.36383592,1.8,0.869505951,2.115202935
2011,9,16,0.544067797,26.0896697,19.07278495,1.7,0.789633252,5.095550908
