YR,MM,DD,PCP,TMAX,TMIN,WDSP,RLTV_HMDT,SLRD
2011,2,10,0.0,-0.967847774630701,-12.4942357257256,1.8,0.749787743923314,-99
2011,2,11,0.0,-4.97800765598802,-12.8826883910387,2.6,0.653030794165316,-99
2011,2,12,0.0,-5.66622658554706,-12.8674134419552,2.8,0.688249197548877,-99
2011,2,13,0.0,-4.72933251703793,-15.0325619213974,3.9,0.762604166666666,-99
2011,2,14,0.0,-1.37268466504186,-13.0809523809524,0.9376,0.42,-99
2011,2,15,0.2,0.453205380025867,-9.49240121580547,0.458742307607473,0.57,-99
2011,2,16,2.75467918288975,1.49151446179963,-4.61251166968999,1.31459514920056,1.0,-99
2011,2,17,0.2,0.415317896584371,-6.2508390304537,2.1,0.580559947299078,-99
2011,2,18,4.01560553633218,2.6121778078536,-3.70214623226384,0.9376,1.0,-99
2011,2,19,0.0,-1.31342361917822,-7.8,9.33009536922056,0.575147579693034,-99
2011,2,20,0.0,-2.35388525076384,-6.98668159205298,6.5804143768414,0.578689492325856,-99
2011,2,21,0.0,-0.745379453016426,-10.8603652175899,6.00935155643701,0.598720930232558,-99
2011,2,22,0.0,3.27745891232446,-13.2200333889816,1.82668657504413,0.631016355140187,-99
2011,2,23,0.0,1.88704332181447,-18.2816956968119,0.979384074303406,0.405134899912968,-99
2011,2,24,0.0,1.95189611998412,-14.6844596634631,1.5,0.54,-99
2011,2,25,0.801401699178555,3.5997689626158,-11.3324675324675,0.383342847724185,0.87,-99
2011,2,26,3.0,5.31600691748692,-0.732015124251184,0.687603391770275,1.0,-99
2011,2,27,3.89294479472592,8.06551394245085,-3.52480714133074,2.3,1.0,-99
2011,2,28,0.0,0.781486910239929,-5.43333333333333,7.36036681920386,0.572491145218418,-99
2011,3,1,0.0,0.604860234008489,-10.959795665708,4.33715464834676,0.753916104429452,-99
2011,3,2,0.0,2.15072927603559,-12.4037663896951,2.4,0.5797673188789,-99
2011,3,3,0.0,7.0,-8.70255505891914,1.09070992938155,0.74,-99
2011,3,4,0.0,6.3894506129338,-5.9,3.41286196855744,0.68,-99
2011,3,5,0.0,-2.70317548926427,-11.3399220726959,5.79383504795682,0.442095553041511,-99
2011,3,6,0.0,2.91830137184327,-7.44568698347107,3.3,0.495833333333333,-99
2011,3,7,0.0,-3.81221801485092,-11.4645536815443,7.34890323174662,0.461145038167939,-99
2011,3,8,0.0,3.72637491630908,-8.13493819128172,2.3,0.270406378903082,-99
2011,3,9,0.0,7.89592948230915,-2.29064673952,3.0,0.791197716112824,-99
2011,3,10,0.0,9.49634409374858,-2.5,1.9,0.81037643207856,-99
2011,3,11,0.0,9.13160121635074,-0.664364864940139,1.1,0.83853462538407,-99
2011,3,12,0.0,15.2384711702363,0.335153958753797,2.0,0.817250409165303,-99
2011,3,13,0.0,6.25915644498116,-0.654015365084104,5.5643548602592,0.67,-99
